State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.05246	3.06159	3.08996	3.10678	3.10919	3.11688	3.11159	3.10678	3.10246	3.09957	3.08803	3.05438	3.02313	2.98226	2.93226	2.88995	2.84043	2.78563	2.72937	2.66207	2.61928
2	1.27814	1.26715	1.24433	1.22066	1.20037	1.17924	1.14712	1.11330	1.06681	1.02116	0.96960	0.94001	0.91296	0.88084	0.88168	0.87407	0.88084	0.88337	0.86308	0.87154	0.88337
3	2.11518	2.11518	2.12029	2.06920	2.03854	2.02832	2.08452	2.17649	2.15605	2.03343	1.92103	1.86994	1.78819	1.78819	1.68090	1.51230	1.48165	1.58894	1.69112	1.76776	1.72178
4	4.65912	4.64023	4.40727	4.26246	4.20580	4.02321	3.77137	3.48175	3.19842	2.77029	2.59399	2.56881	2.50585	2.63807	2.65066	2.90250	3.04102	2.90250	2.85213	2.80806	2.78917
5	2.42889	2.34177	2.39056	2.32435	2.18147	2.24071	2.36268	2.44283	2.56131	2.68676	2.72161	2.83313	2.87843	2.75298	2.73207	2.61707	2.49162	2.62752	2.61707	2.59965	2.64843
6	1.57056	1.57781	1.53429	1.51796	1.55968	1.62678	1.65580	1.62497	1.65217	1.70839	1.72834	1.77187	1.77368	1.80814	1.81176	1.84804	1.90063	1.81176	1.78093	1.84622	1.82627
7	3.85374	3.83556	3.80829	3.72649	3.77194	3.71740	3.58107	3.38111	3.34475	3.12662	2.75397	2.66308	2.49948	2.32679	2.48130	2.71761	2.56310	2.60854	2.72670	2.81759	2.89939
8	2.25814	2.24952	2.24779	2.25469	2.22537	2.23399	2.22192	2.20467	2.18569	2.15119	2.16154	2.12704	2.13049	2.14084	2.12876	2.09771	2.09771	2.07701	2.08046	2.03906	2.03043
9	0.66712	0.66762	0.66830	0.67094	0.67316	0.67126	0.67203	0.67680	0.68093	0.68892	0.69850	0.70509	0.71167	0.71817	0.72330	0.72784	0.73356	0.74015	0.74682	0.75223	0.75545
10	1.11472	1.12449	1.12658	1.12728	1.13774	1.15797	1.18029	1.17960	1.17123	1.13844	1.09519	1.05892	1.04496	1.03729	1.03938	1.03590	1.01985	1.00869	0.99962	0.98986	0.99613
