State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.16134	1.08963	1.02768	0.95512	0.84862	0.76545	0.65895	0.57112	0.50578	0.46844	0.45231	0.45571	0.47098	0.50620	0.55160	0.65216	0.79898	0.96233	1.11551	1.27123	1.40277
2	1.57640	1.40033	1.18398	0.95569	0.77141	0.62220	0.53492	0.50358	0.47971	0.47747	0.48866	0.49314	0.51403	0.51328	0.54909	0.69905	1.09221	1.81886	2.62161	3.33409	3.94808
3	5.25756	5.97901	6.60126	6.56067	5.95195	4.61727	3.16987	2.21395	1.77206	1.86675	1.99300	1.48799	1.74050	2.89030	5.95646	11.69198	17.34633	19.31679	19.03272	17.01266	14.80323
4	5.41770	6.51236	7.92930	10.22418	13.13585	16.39759	18.80916	19.94271	19.70377	18.60912	22.93217	39.76873	49.54838	54.28262	53.37689	45.63096	35.41234	26.82180	20.17609	15.80303	12.71355
5	3.34921	3.67521	4.30261	5.10839	6.45853	8.73131	12.25275	17.55181	23.71509	26.32310	26.35694	21.90978	15.57735	10.61659	7.20894	5.20065	3.91510	3.16468	2.56496	2.38658	2.09748
6	2.26801	2.44247	2.66175	3.05709	3.39481	3.85578	4.39677	4.39357	3.69732	3.87498	3.35160	1.69501	1.54135	1.73822	1.86146	1.94790	1.89828	1.71901	1.59897	1.45332	1.40850
7	3.81823	4.32358	5.21397	6.85035	9.24878	12.73011	17.57509	22.77302	27.85062	32.02982	32.43090	29.17417	27.87469	25.25968	21.52167	17.28632	13.05899	9.37713	7.29956	5.55087	4.35567
8	3.83055	4.08176	4.25837	4.41062	4.52633	4.59636	4.49588	4.24315	3.87014	3.54281	3.29769	3.26115	3.51845	3.87623	4.29186	4.59332	4.76840	4.76688	4.70598	4.58418	4.42128
9	0.75073	0.73530	0.71366	0.68384	0.64640	0.59041	0.51947	0.44232	0.37655	0.33515	0.31891	0.31659	0.32757	0.34420	0.36773	0.39286	0.41639	0.43911	0.45562	0.47098	0.48376
10	0.72954	0.72338	0.73261	0.73508	0.74616	0.74308	0.74554	0.73261	0.73939	0.76093	0.79110	0.81388	0.81019	0.79603	0.77448	0.76586	0.75724	0.75662	0.74370	0.72954	0.71230
