State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	7.27285	0.64251	3.22305	2.13489	3.08740	0.45233	0.82205	0.24340
2	4.13639	0.51461	1.44301	2.25322	0.96885	0.48868	1.09181	0.15466
3	0.68439	1.10797	1.90002	2.21182	1.92123	1.99306	6.56055	0.12305
4	0.55536	34.01668	6.39701	2.12977	2.59427	22.93288	20.81428	0.14105
5	1.00340	22.47761	3.91492	1.17559	2.72190	26.35467	9.22938	0.30993
6	1.92803	1.59306	1.41590	1.08679	1.72852	3.35170	2.59448	0.51204
7	0.38471	52.24324	6.41746	1.22293	2.75426	32.43190	15.77271	0.54171
8	2.02692	6.89599	2.17453	1.09666	2.16177	3.29779	4.38397	0.72496
9	76.99539	0.11584	0.61366	0.81531	0.69858	0.31892	0.52516	1.14392
10	5.01256	0.98312	0.98830	0.74082	1.09530	0.79112	0.75887	1.27174
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
