State (Emission order)	H3K09me3	H3K27me3	H3K04me2	H3K09ac	H3K27ac	H3K04me1	H3K09me1	H4K20me1	H3K79me2	H3K36me3
1	0.0016134949308754497	2.233665069727892E-4	3.8866285868444355E-4	0.0010045846199443166	7.083512601723299E-4	0.0029282477457459512	0.008658609920476082	0.01307662911301367	0.05475821819746718	0.05398364136726519
2	0.012453836596717359	3.4074148814184816E-4	0.0013254460504686075	0.0015904270325676005	0.002846800858055422	0.00874644963461498	0.014662562938655463	0.053149735772743366	0.838683693113185	0.05174343485882825
3	0.006782434715320368	8.889086703233158E-4	0.37306037992264673	0.09668224254128316	0.3125699299450502	0.4664461518904332	0.058092126841126704	0.15066500706146524	0.9067012359106282	0.08302523743376224
4	0.007340338526414164	0.002552633978573976	0.8944452722787728	0.96739011138479	0.8679398667838821	0.3266811716071635	0.03024520319521164	0.08965451227084907	0.940146337999279	0.052912193513512465
5	0.005561154096157453	0.0012035373773654902	0.7634340271107645	0.7332083996315955	0.9350322414288375	0.5596211391177914	0.02883968240288061	0.015559773185390976	0.010786695718101192	0.01267872958267725
6	0.011398998162780038	6.630867777794578E-4	0.18701284564616827	0.030239887905049924	0.25740070287234645	0.436374555356952	0.023699194138665645	0.011920104542362354	0.005239037188968998	0.011997125348509174
7	0.02073805483000316	0.20875419628824507	0.8400484736009733	0.2642046670979187	0.018832938572157367	0.2950125387323028	0.02386970374108735	0.033938764692731035	0.012989138316904417	0.0038912378720311544
8	0.021281803193110266	0.2707292164325933	0.004307368118989337	7.334041053917666E-4	5.140891143935066E-5	0.005726579484627634	0.011593396917044977	0.042384874769602426	3.0138274503292895E-4	0.0013360992780794636
9	0.00490463655017718	0.002926759977090472	2.9126146665880986E-4	1.515248543260815E-4	1.6555392811141255E-12	8.932934965579639E-4	0.0021982121857440588	0.001082953434379467	3.309028301526679E-5	0.0014347286051255715
10	0.343699866651624	0.0025280101867289047	2.628651885120548E-4	1.8079660423086727E-4	4.996743245604202E-4	4.6456189987616165E-4	0.0027648707020669944	0.002323324257315849	0.0016939072174420693	0.0033062424408173
